"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1283","test_question_answer[1]","tests","Wed Jul 09 21:04:49 MSK 2025","broken","Wed Jul 09 21:04:51 MSK 2025","","test_questions","",""
"","1335","test_question_answer[5]","tests","Wed Jul 09 21:05:13 MSK 2025","broken","Wed Jul 09 21:05:15 MSK 2025","","test_questions","",""
"","1339","test_question_answer[2]","tests","Wed Jul 09 21:04:55 MSK 2025","broken","Wed Jul 09 21:04:57 MSK 2025","","test_questions","",""
"","1310","test_question_answer[0]","tests","Wed Jul 09 21:04:43 MSK 2025","broken","Wed Jul 09 21:04:44 MSK 2025","","test_questions","",""
"","1306","test_question_answer[4]","tests","Wed Jul 09 21:05:07 MSK 2025","broken","Wed Jul 09 21:05:09 MSK 2025","","test_questions","",""
"","11411","test_order_flow[order_data0]","tests","Wed Jul 09 21:04:11 MSK 2025","broken","Wed Jul 09 21:04:23 MSK 2025","","test_order","",""
"","11552","test_order_flow[order_data1]","tests","Wed Jul 09 21:04:27 MSK 2025","broken","Wed Jul 09 21:04:39 MSK 2025","","test_order","",""
"","1368","test_question_answer[3]","tests","Wed Jul 09 21:05:01 MSK 2025","broken","Wed Jul 09 21:05:03 MSK 2025","","test_questions","",""
